location_code,region,neighborhood,latitude,longitude
CLN213,Plano Piloto,Asa Norte,-15.7452662779203,-47.88718434646098
SGAN911,Plano Piloto,Asa Norte,-15.735055,-47.900310
CRNW510,Noroeste,Noroeste,-15.748260,-47.912470
